ID,NLuc,CLuc,value,Experiment,Replicate,Volume,Area,VpA,VpA_base,VpA_norm,Ref_sample,NLuc_Sample,CLuc_Sample,ypos
1712,AtMLO1,AtEXO70D3,0.03,1,2,6628.79,76.66,86.47,135.24,0.03,AtMLO1-AtCAM2,B,E,0.13
1713,AtMLO1,AtEXO70D3,-0.01,1,3,-10314,51.32,-200.97,-8.27,-0.01,AtMLO1-AtCAM2,B,E,0.13
1714,AtMLO1,AtEXO70D3,0.02,2,1,2736.6,34.57,79.17,75.41,0.02,AtMLO1-AtCAM2,B,E,0.13
1715,AtMLO1,AtEXO70D3,0,2,2,-14939.5,49.12,-304.14,-22.34,0,AtMLO1-AtCAM2,B,E,0.13
1716,AtMLO1,AtEXO70D3,0.04,2,3,5786.75,49.12,117.81,141.94,0.04,AtMLO1-AtCAM2,B,E,0.13
1717,AtMLO1,AtEXO70D3,0.03,3,1,19738.93,58.03,340.14,376.59,0.03,AtMLO1-AtCAM2,B,E,0.13
1718,AtMLO1,AtEXO70D3,0,3,2,-2284.71,58.03,-39.37,40.98,0,AtMLO1-AtCAM2,B,E,0.13
1719,AtMLO1,AtEXO70D3,0.04,3,3,20958,58.03,361.15,482.82,0.04,AtMLO1-AtCAM2,B,E,0.13
1720,AtMLO1,AtEXO70D3,0.05,3,4,7976,58.03,137.44,680.35,0.05,AtMLO1-AtCAM2,B,E,0.13
1721,AtMLO1,AtEXO70D3,0,4,1,13371.36,52.4,255.2,-32.53,0,AtMLO1-AtCAM2,B,E,0.13
1722,AtMLO1,AtEXO70D3,0.01,4,2,1111.86,52.4,21.22,48.49,0.01,AtMLO1-AtCAM2,B,E,0.13
1723,AtMLO1,AtEXO70D3,0.01,4,3,-949.86,52.4,-18.13,285.4,0.01,AtMLO1-AtCAM2,B,E,0.13
1724,AtMLO1,AtEXO70D3,0,4,4,-10638.63,71.45,-148.9,-7.3,0,AtMLO1-AtCAM2,B,E,0.13
1725,AtMLO1,AtEXO70D3,0,5,1,-3924.29,52.4,-74.9,-0.74,0,AtMLO1-AtCAM2,B,E,0.13
1726,AtMLO1,AtEXO70D3,0.01,5,2,11995.83,88.77,135.13,81.33,0.01,AtMLO1-AtCAM2,B,E,0.13
1727,AtMLO1,AtEXO70D3,0.02,5,3,2609.43,52.4,49.8,211.71,0.02,AtMLO1-AtCAM2,B,E,0.13
1728,AtMLO1,AtEXO70D3,0.11,5,4,2952.43,52.4,56.35,373.74,0.11,AtMLO1-AtCAM2,B,E,0.13
1729,AtMLO1,AtEXO70D3,0.03,6,1,-6808.57,47.05,-144.71,319.95,0.03,AtMLO1-AtCAM2,B,E,0.13
1730,AtMLO1,AtEXO70D3,0.01,6,2,2528.57,47.05,53.74,241.74,0.01,AtMLO1-AtCAM2,B,E,0.13
1731,AtMLO1,AtEXO70D3,0.06,6,3,11098.29,47.05,235.89,587.51,0.06,AtMLO1-AtCAM2,B,E,0.13
1732,AtMLO1,AtEXO70D3,0,6,4,-27.93,47.05,-0.59,-59.49,0,AtMLO1-AtCAM2,B,E,0.13
1733,AtMLO1,AtEXO70E2,0.23,1,1,31001.43,76.66,404.39,756.07,0.23,AtMLO1-AtCAM2,B,F,0.99
1734,AtMLO1,AtEXO70E2,0.07,1,2,15975,51.32,311.28,360.06,0.07,AtMLO1-AtCAM2,B,F,0.99
1735,AtMLO1,AtEXO70E2,0.07,2,1,7615.1,34.57,220.3,216.54,0.07,AtMLO1-AtCAM2,B,F,0.99
1736,AtMLO1,AtEXO70E2,0.08,2,2,14094.43,73.38,192.08,473.88,0.08,AtMLO1-AtCAM2,B,F,0.99
1737,AtMLO1,AtEXO70E2,0.07,2,3,11004.5,49.12,224.03,248.16,0.07,AtMLO1-AtCAM2,B,F,0.99
1738,AtMLO1,AtEXO70E2,0.32,3,1,201187.5,58.03,3466.9,3503.34,0.32,AtMLO1-AtCAM2,B,F,0.99
1739,AtMLO1,AtEXO70E2,0.02,3,2,12473.29,58.03,214.94,295.29,0.02,AtMLO1-AtCAM2,B,F,0.99
1740,AtMLO1,AtEXO70E2,0.01,3,3,175.86,58.03,3.03,124.7,0.01,AtMLO1-AtCAM2,B,F,0.99
1741,AtMLO1,AtEXO70E2,0.03,3,4,-17840.72,98.32,-181.46,361.45,0.03,AtMLO1-AtCAM2,B,F,0.99
1742,AtMLO1,AtEXO70E2,0.34,4,1,1290902.28,88.77,14542.09,14254.36,0.34,AtMLO1-AtCAM2,B,F,0.99
1743,AtMLO1,AtEXO70E2,0,4,2,-2147.63,71.45,-30.06,-2.79,0,AtMLO1-AtCAM2,B,F,0.99
