ID,NLuc,CLuc_Sample,Experiment,mean,sd
359,AtMLO6,J,5,0.6275,0.14614490525958587
360,AtMLO6,J,6,0.8066666666666666,0.3429771615331454
361,AtMLO7,A,1,0.35000000000000003,0.64740507669722
362,AtMLO7,A,2,0.0525,0.0741057802513857
363,AtMLO7,A,3,0.20249999999999999,0.35929328781187475
364,AtMLO7,A,4,0.2125,0.41835989291517894
365,AtMLO7,A,5,0.006666666666666667,0.011547005383792516
366,AtMLO7,A,6,0.0025,0.005
367,AtMLO7,B,1,0.3075,0.40966449687518686
368,AtMLO7,B,2,0.47250000000000003,0.5912345840132607
369,AtMLO7,B,3,0.15000000000000002,0.132664991614216
370,AtMLO7,B,4,0.155,0.11
371,AtMLO7,B,5,0.13333333333333333,0.1379613472438325
372,AtMLO7,B,6,0.1525,0.10144785195688802
373,AtMLO7,C,1,0.08,0.060553007081949835
374,AtMLO7,C,2,0.2725,0.1993949180228356
375,AtMLO7,C,3,0.1825,0.17820867917509892
376,AtMLO7,C,4,0.1875,0.13817259737975063
377,AtMLO7,C,5,0.13333333333333333,0.07637626158259733
378,AtMLO7,C,6,0.355,0.2866472861665825
379,AtMLO7,D,1,0.14500000000000002,0.1484362938547488
380,AtMLO7,D,2,0.2825,0.21914607000811123
381,AtMLO7,D,3,0.11750000000000001,0.06396613687465164
382,AtMLO7,D,4,0.1375,0.11729592206608606
383,AtMLO7,D,5,0.295,0.143410831761993
384,AtMLO7,D,6,0.04,0.017320508075688773
385,AtMLO7,E,1,0.05,0.05597618541248888
386,AtMLO7,E,2,0.025,0.031091263510296053
387,AtMLO7,E,3,0.0225,0.026299556396765834
388,AtMLO7,E,4,0.055,0.10344080432788601
389,AtMLO7,E,5,0.0225,0.017078251276599333
390,AtMLO7,E,6,0.023333333333333334,0.023094010767585032
391,AtMLO7,F,1,0.01,0.02
392,AtMLO7,F,2,0.05,0.0697614984548545
393,AtMLO7,F,3,0.0075,0.009574271077563382
394,AtMLO7,F,4,0.12000000000000001,0.13747727084867523
395,AtMLO7,F,5,0.065,0.11704699910719625
396,AtMLO7,F,6,0.01,0.01
397,AtMLO7,G,1,0.6825,0.4920281157278176
398,AtMLO7,G,2,0.86,0.5866003750424986
399,AtMLO7,G,3,0.1275,0.1004572877727976
400,AtMLO7,G,4,0.155,0.15022205785658332
401,AtMLO7,G,5,0.4575,0.2814693589007514
402,AtMLO7,G,6,0.12333333333333334,0.07571877794400364
403,AtMLO7,H,1,0.1325,0.14705441169852743
404,AtMLO7,H,2,0.33499999999999996,0.2157931107951935
405,AtMLO7,H,3,0.06,0.01414213562373095
406,AtMLO7,H,4,0.1075,0.08180260794538685
407,AtMLO7,H,5,0.2175,0.15129992289048486
408,AtMLO7,H,6,0.043333333333333335,0.04509249752822894
409,AtMLO7,I,1,0.125,0.1980740602232744
410,AtMLO7,I,2,0.2625,0.27944886234634536
411,AtMLO7,I,3,0.04,0.032659863237109045
412,AtMLO7,I,4,0.05,0.0627162924074226
413,AtMLO7,I,5,0.08,0.0993310961716756
414,AtMLO7,I,6,0.05333333333333334,0.03785938897200183
415,AtMLO7,J,1,0.3225,0.26625489040892125
416,AtMLO7,J,2,0.5,0.30408332191467957
417,AtMLO7,J,3,0.165,0.1427118308573843
418,AtMLO7,J,4,0.175,0.12871156384205215
419,AtMLO7,J,5,0.6525000000000001,0.6749506154774091
420,AtMLO7,J,6,0.26,0.21656407827707713
421,AtMLO9,A,1,0.195,0.17406895185529211
422,AtMLO9,A,2,0.052500000000000005,0.03593976442141304
423,AtMLO9,A,3,0.17,0.08
424,AtMLO9,A,4,0.08,0.0697614984548545
425,AtMLO9,A,5,0.0975,0.14384598244882152
426,AtMLO9,A,6,0.21250000000000002,0.05909032633745279
427,AtMLO9,B,1,0.315,0.4865182422068057
428,AtMLO9,B,2,0.1,0.18018509002319438
429,AtMLO9,B,3,0.1475,0.1506375340566443
430,AtMLO9,B,4,0.13,0.09865765724632494
431,AtMLO9,B,5,0.21750000000000003,0.1641899306697379
432,AtMLO9,B,6,0.24000000000000002,0.241522945769824
433,AtMLO9,C,1,0.115,0.1369914839202301
434,AtMLO9,C,2,0.08499999999999999,0.025166114784235832
435,AtMLO9,C,3,0.14333333333333334,0.12701705922171766
436,AtMLO9,C,4,0.1575,0.12284814474246922
437,AtMLO9,C,5,0.145,0.10723805294763608
438,AtMLO9,C,6,0.13,0.05887840577551898
439,AtMLO9,D,1,0.17750000000000002,0.19771612647092465
440,AtMLO9,D,2,0.1825,0.1796988221070652
441,AtMLO9,D,3,0.25,0.0818535277187245
442,AtMLO9,D,4,0.0825,0.07932002689527196
443,AtMLO9,D,5,0.3075,0.38990383429763803
444,AtMLO9,D,6,0.21000000000000002,0.08755950357709133
445,AtMLO9,E,1,0.02,0.060553007081949835
446,AtMLO9,E,2,0.1125,0.1417450763401208
447,AtMLO9,E,3,0.39666666666666667,0.5781291666516518
448,AtMLO9,E,4,0.14,0.07702813338860895
449,AtMLO9,E,5,0.1075,0.09912113800799503
450,AtMLO9,E,6,0.05,0.062182527020592106
451,AtMLO9,F,1,0.315,0.18627936010197158
452,AtMLO9,F,2,0.095,0.11445523142259598
453,AtMLO9,F,3,0.0775,0.075
454,AtMLO9,F,4,0.025,0.019148542155126763
455,AtMLO9,F,5,0.12,0.05477225575051661
456,AtMLO9,F,6,0.205,0.10785793124908957
457,AtMLO9,G,1,0.2375,0.417163037672323
458,AtMLO9,G,2,0.355,0.4150903516103452
459,AtMLO9,G,3,0.26,0.15253414918196734
460,AtMLO9,G,4,0.38999999999999996,0.21694853460363972
461,AtMLO9,G,5,0.1525,0.1725060385416503
462,AtMLO9,G,6,0.28500000000000003,0.22956480566497994
463,AtMLO9,H,1,0.28500000000000003,0.26664583251946766
464,AtMLO9,H,2,0.1825,0.16152915113584504
465,AtMLO9,H,3,0.195,0.12819256348686273
466,AtMLO9,H,4,0.05,0.05773502691896258
467,AtMLO9,H,5,0.1325,0.1486326567974436
468,AtMLO9,H,6,0.26999999999999996,0.3178049716414141
469,AtMLO9,I,1,0.2125,0.27097047809678454
470,AtMLO9,I,2,0.15,0.1321615173439934
471,AtMLO9,I,3,0.13999999999999999,0.09128709291752768
472,AtMLO9,I,4,0.10250000000000001,0.07135591542869216
473,AtMLO9,I,5,0.13,0.10708252269472673
474,AtMLO9,I,6,0.33749999999999997,0.17727097901235836
475,AtMLO9,J,1,0.5275000000000001,0.4931108732661787
476,AtMLO9,J,2,0.40249999999999997,0.3057640702676929
477,AtMLO9,J,3,0.1075,0.18945096111307186
478,AtMLO9,J,4,0.535,0.7217802066187924
479,AtMLO9,J,5,0.29,0.474903498969352
480,AtMLO9,J,6,0.2025,0.07932002689527197
481,HvMlo,A,1,0.0725,0.15173990905493517
482,HvMlo,A,2,0.1375,0.26183646295604696
483,HvMlo,A,3,0.015,0.012909944487358056
484,HvMlo,A,4,0.07250000000000001,0.08845903006477067
485,HvMlo,A,5,0.0725,0.15173990905493517
486,HvMlo,A,6,0,0
487,HvMlo,B,1,0.155,0.29670411748631553
488,HvMlo,B,2,0.0975,0.07544313531837517
489,HvMlo,B,3,0.11,0.09556847457887634
490,HvMlo,B,4,0.07500000000000001,0.08812869377601525
491,HvMlo,B,5,0.1975,0.2698610753702727
492,HvMlo,B,6,0.0675,0.034999999999999996
493,HvMlo,C,1,0.23,0.17107503227141788
494,HvMlo,C,2,0.6775,0.6293581386354408
495,HvMlo,C,3,0.5375,0.5473801238627505
496,HvMlo,C,4,0.0625,0.07228416147400481
497,HvMlo,C,5,0.23,0.17107503227141788
498,HvMlo,C,6,0.2525,0.13326039671760448
499,HvMlo,D,1,0.26,0.1906130460732773
500,HvMlo,D,2,1.125,0.39059783238859214
501,HvMlo,D,3,0.245,0.15800843859321775
502,HvMlo,D,4,0.6025,0.4242935304715357
503,HvMlo,D,5,0.26,0.1906130460732773
504,HvMlo,D,6,0.7933333333333333,0.5573448962117921
505,HvMlo,E,1,0.0625,0.049916597106239795
506,HvMlo,E,2,0.3375,0.45653586934653884
507,HvMlo,E,3,0.0175,0.035
508,HvMlo,E,4,0.08249999999999999,0.13889444433333778
509,HvMlo,E,5,0.0625,0.049916597106239795
510,HvMlo,E,6,0.1025,0.06184658438426491
